singleSetId,weight,reps,distance,duration,elevationGain,setNumber,exerciseSetParseId,exerciseName,workoutId,workoutDate,fake_user_id
VNcQt2BlCk,3.4019468207672983,12.0,0.0,0.0,0.0,3,NEkvifGZzX,Seated Dumbbell Rear Delt Raise,fx26ymKXw6,2019-06-20,fake_id_661
KyLlnJH3uL,0.0,12.0,0.0,0.0,0.0,2,oyCSP6looQ,Hip Thrust,LM8FPhQ1yB,2019-08-05,fake_id_663
U5sJNzL2Ze,4.535929094356399,7.0,0.0,0.0,0.0,2,HlPQvrzNwn,Cable Rear Delt Fly,FMjirgceAw,2018-10-28,fake_id_661
uMI0x3H7xA,0.0,0.0,0.0,15.0,0.0,2,R9gkm59je9,Single Leg Straight Forward Bend,AuZ5rAsvR1,2019-06-14,fake_id_664
VFlCBNxUqx,83.91468824559335,8.0,0.0,0.0,0.0,1,ULpIE1wuQm,Box Squat,EFio1upIXH,2019-06-07,fake_id_655
cLHYLfJ78A,0.0,0.0,337.96224,120.0,0.0,1,gOI6OOQzgl,Running - Treadmill,i2a1SjzA0m,2018-10-20,fake_id_661
BHCsqdZA2S,0.0,18.0,0.0,0.0,0.0,3,tBKqvLkkN3,Single Leg Glute Bridge,elRF5YpZ2B,2019-07-02,fake_id_654
Fx2Z5URa7f,40.0,15.0,0.0,0.0,0.0,3,7hnmag68dt,Standing Barbell Calf Raise,GUFJCn5iyq,2019-07-24,fake_id_653
M3oQw1OBmF,206.38477379321608,12.0,0.0,0.0,0.0,2,bHiPaTSlwm,Machine Squat,WOu2F3iAp0,2019-04-05,fake_id_665
uBxnZT86er,4.535929094356399,8.0,0.0,0.0,0.0,3,6ctWj5x74f,Cable Shoulder External Rotation,MpvsWXSuwe,2019-06-25,fake_id_664
UjAuHDfnPm,79.37875915123695,10.0,0.0,0.0,0.0,1,i8qoXSh5EM,Sumo Deadlift,neOFDFFE8x,2019-06-09,fake_id_655
qOsEMKIjh1,40.0,10.0,0.0,0.0,0.0,1,HQe8HiSXHh,Landmine Row,95mpVcl2tB,2018-01-20,fake_id_666
jjFFCUswu3,0.0,10.0,0.0,0.0,0.0,2,XSEAIby3sZ,Ab Rollout,8kvZ8Loh4t,2019-06-18,fake_id_667
lLkCM03ihi,0.0,24.0,0.0,0.0,0.0,3,h0BbmmlhFP,Exercise Ball Crunch,ku28pDPMMM,2019-08-20,fake_id_653
GKzrS0RvSK,0.0,0.0,1190.91456,694.0,0.0,1,zBha0uuDzE,Running,WOsfWJyKE7,2019-02-19,fake_id_657
mvoixNG9YH,52.16318458509857,5.0,0.0,0.0,0.0,3,b0j2dpQsER,Barbell Step Up,lglwD9fI4Z,2019-03-05,fake_id_665
WCNm43FGP2,0.0,7.0,0.0,0.0,0.0,2,PJZyl6V5oE,Step Up,6FHbgv9jcJ,2019-04-10,fake_id_660
thM3FsyDAb,13.607787283069193,20.0,0.0,0.0,0.0,2,0Zki99cEpV,Dumbbell Upright Row,REOqieFsp2,2018-08-18,fake_id_651
YOcWBybKLY,3.4019468207672983,12.0,0.0,0.0,0.0,2,oVYdQkGlko,Iron Cross,3O3DQDGpYs,2019-07-14,fake_id_667
B5vuOFbJH3,10.659433371737533,10.0,0.0,0.0,0.0,1,PV5WMOn9HR,Dumbbell Clean,maGqyWajRU,2019-06-21,fake_id_654
CSl5JGIZi2,0.0,9.0,0.0,0.0,0.0,4,yaixXaMRHo,Dead Bug,9cDDVCwozf,2019-07-03,fake_id_664
LurFhHRV4X,31.75150366049478,12.0,0.0,0.0,0.0,1,fAVDTAlzpI,Smith Machine Bent Over Row,nBzZ3w42gp,2018-04-14,fake_id_668
Gj0o4McUYe,5.0,12.0,0.0,0.0,0.0,2,smlsGvu9wM,Cable Hip Adduction,df1muJ3i2B,2019-03-06,fake_id_653
WuxkeXHNRm,0.0,8.0,0.0,0.0,0.0,1,4R4bk2Mnja,Foam Roll Quadriceps,cJdb11G0OR,2019-04-03,fake_id_653
D2VFOlAyUX,0.0,30.0,0.0,0.0,0.0,1,gdXnDBvkWJ,Floor Bridge,O6Ud1o2jXR,2018-11-13,fake_id_653
tosWkeKQqO,5.669911367945497,6.0,0.0,0.0,0.0,1,PY7GUU8XNw,Cable Rear Delt Fly,2ZPTcGNLXn,2019-06-06,fake_id_667
E9mBrAzjJq,0.0,8.0,0.0,0.0,0.0,3,7lFiJWfv2f,Inverted Row,5ntGEJwNAF,2018-10-06,fake_id_661
1yabZsi6Ww,0.0,18.0,0.0,0.0,0.0,1,ZLgfJL2FQ3,Vertical Knee Raise,bU6EWR1kaf,2019-01-17,fake_id_657
1UMhpkAlxM,25.0,6.0,0.0,0.0,0.0,3,QxYwmzlYdD,Push Press,AHZ0Ak5Twm,2019-03-11,fake_id_653
sFc8BguYrZ,12.5,12.0,0.0,0.0,0.0,4,fie6WjW6vp,Cable Face Pull,VdcwR7GX10,2019-06-04,fake_id_663
Rq22iBBu08,0.0,0.0,0.0,15.0,0.0,1,X7et3m9qsL,Cross-body Arm Stretch,BxAMWCpREk,2019-09-04,fake_id_663
HGvrJ2XtCm,0.0,6.0,0.0,0.0,0.0,3,n0xf3LNT2N,Inverted Row,yEDG28K9y6,2019-04-07,fake_id_665
NCgEGfm5jd,20.0,8.0,0.0,0.0,0.0,1,P9YmHid46p,Hammerstrength Decline Chest Press,anjUCkvdr7,2019-08-15,fake_id_653
29BphKqYf9,0.0,8.0,0.0,0.0,0.0,1,XDxApDVxTQ,Hanging Leg Raise,VvONJDHxC7,2018-06-25,fake_id_653
VBN3lknyOR,20.41168092460379,15.0,0.0,0.0,0.0,2,OzB4NHf5hG,Hammerstrength Chest Press,szK0AZ2DNS,2019-03-20,fake_id_660
UUEq3dP3HD,20.41168092460379,12.0,0.0,0.0,0.0,2,fYG5h1ulcZ,Cable Face Pull,GCQ78tr3ej,2019-05-13,fake_id_656
0XrLmlgRjH,0.0,15.0,0.0,0.0,0.0,2,q67A7ZlCgj,Reverse Crunch,ebB3OmWFeM,2018-01-28,fake_id_669
EScfjnBGPQ,0.0,18.0,0.0,0.0,0.0,1,iI4P2obZMl,Mountain Climber,4eASWkSdlm,2019-08-26,fake_id_654
G34TjNMPym,20.41168092460379,8.0,0.0,0.0,0.0,3,cnInj8iN38,Hammerstrength Decline Chest Press,nPD7EyRvad,2019-04-02,fake_id_662
iBKlwmgMhb,0.0,9.0,0.0,0.0,0.0,2,7uCAGIG073,Lateral Step Up with Knee Drive,sGo9qH9HmW,2019-07-18,fake_id_654
lMQaghbHO9,31.75150366049478,15.0,0.0,0.0,0.0,3,ooCdVP3BQx,Tricep Overhead Extension with Rope,uo7ZmgWfBA,2019-03-11,fake_id_656
t81fbMTUJM,19.27769865101469,10.0,0.0,0.0,0.0,1,m5qi8E512q,Shotgun Row,BHOMN8ZQEs,2019-04-25,fake_id_660
1SQFyTRAti,0.0,12.0,0.0,0.0,0.0,2,nEUSBUm8rw,Exercise Ball Crunch,XJTYeID8Xg,2019-02-14,fake_id_665
s9A1Zbl2ts,0.0,10.0,0.0,0.0,0.0,4,6mJhcFwgJ6,Pike Push Up,bb7hT56IPB,2019-05-01,fake_id_654
xNqueFU6p3,0.0,3.0,0.0,0.0,0.0,2,VEEh2xQ0Um,Archer Pull Up,bb7hT56IPB,2019-05-01,fake_id_654
iGnyNCfJEi,0.0,7.0,0.0,0.0,0.0,2,GlBijfeH17,Side Lunge,vgxBgaGdR2,2019-06-03,fake_id_654
vA7BxTxXWv,24.94761001896019,20.0,0.0,0.0,0.0,3,Ymdu8EaAnX,Floor Press,xybDOeint0,2019-09-12,fake_id_654
mBk4Hw3Php,0.0,10.0,0.0,0.0,0.0,2,vCUoLGLjZ1,Star Jump,ZBEWcz3H0T,2019-05-13,fake_id_670
f5FZAZCNOU,0.0,12.0,0.0,0.0,0.0,2,Gtgd7hF71m,Jackknife Sit-Up,BShg7WRlDb,2019-03-10,fake_id_653
0VcXLlRdOW,0.0,20.0,0.0,0.0,0.0,3,V38LpHGLJ8,TRX Hamstring Pull-In,BShg7WRlDb,2019-03-10,fake_id_653
Gy89HvRjqo,29.483539113316585,10.0,0.0,0.0,0.0,3,0PtOgwpxAj,Ab Crunch Machine,vSHfM90D7F,2019-08-19,fake_id_664
7dtk5O4JH3,40.82336184920758,10.0,0.0,0.0,0.0,5,3yljHDrPvL,Seated Barbell Shoulder Press,QvHN8JvIFN,2019-08-14,fake_id_664
FJso8picnp,12.0,10.0,0.0,0.0,0.0,2,jsmXvsiqV7,Incline Dumbbell Squeeze Press,VTxY6FfAPI,2019-02-21,fake_id_653
MhmwWySGvR,61.23504277381137,15.0,0.0,0.0,0.0,3,GctAmDQtfh,Hammerstrength Chest Press,01CFDHwfon,2019-03-08,fake_id_665
wwD8YzOLhS,0.0,22.0,0.0,0.0,0.0,3,yJCm2zLjpi,Scissor Crossover Kick,facJaBaQbW,2019-05-07,fake_id_653
VtygBvTFHx,8.0,15.0,0.0,0.0,0.0,1,obe21h18Pi,Kettlebell Swing,jUKfYVI6Va,2018-12-17,fake_id_653
PoL4vjpz1O,0.0,23.0,0.0,0.0,0.0,2,K9bCtTHD9s,Reverse Hyperextension,t1vMbZShHv,2018-10-03,fake_id_661
nnuEohoi2W,0.0,7.0,0.0,0.0,0.0,4,RA38lacT4f,Scissor Kick,IHJxwNBVCy,2018-11-09,fake_id_660
a0ubQOHw7O,8.391468824559336,15.0,0.0,0.0,0.0,2,sJjPI4eVCD,Dumbbell Clean,XYTzN8GiBO,2019-05-08,fake_id_654
6Ux1Xu5GQV,24.94761001896019,10.0,0.0,0.0,0.0,2,VoWIDrYmFb,Shotgun Row,foxaoReqie,2019-06-12,fake_id_664
6AffXYxJTS,9.071858188712797,5.0,0.0,0.0,0.0,2,BDe92er0wL,Dumbbell Clean,6UjblCP0pM,2019-09-10,fake_id_671
BRsma19LMA,18.14371637742559,8.0,0.0,0.0,0.0,1,7AQhHOLJiq,Freemotion Shoulder Press,iFiX3ErQeE,2019-04-22,fake_id_660
OrcF6KCzrD,36.28743275485118,8.0,0.0,0.0,0.0,2,HaHKF7EB7e,Hammerstrength Iso Row,DiddlG0SbN,2019-06-10,fake_id_664
TJdsFvALeI,0.0,18.0,0.0,0.0,0.0,2,bKVFv4Jhi9,Mountain Climber,bBaF5g79Ao,2019-04-08,fake_id_670
3UWTH3V2Li,22.67964547178199,10.0,0.0,0.0,0.0,4,vTulZQLkVd,Dumbbell Side Bend,H9kbwZ40rD,2019-06-08,fake_id_664
AUyqsX04It,15.0,8.0,0.0,0.0,0.0,2,qmDrFNEMA9,Smith Machine Bent Over Row,HgQMeHNsbf,2019-06-29,fake_id_659
taPexmFU4j,15.87575183024739,12.0,0.0,0.0,0.0,1,f30mra3nx2,Cable Tricep Pushdown,Pljn4inQhJ,2018-12-11,fake_id_660
0NLYu46l3U,0.0,22.0,0.0,0.0,0.0,2,3FU83dXNfA,Leg Pull-In,IQG1pJndBq,2019-04-18,fake_id_664
mQIsKy9MGY,0.0,20.0,0.0,0.0,0.0,1,DCxFZTjTZr,Sit Up,iF3HUetyar,2018-07-29,fake_id_672
X2s38q67zG,0.0,15.0,0.0,0.0,0.0,1,sIZKxjxBFx,Vertical Knee Raise,Ed5GpwYYub,2019-07-18,fake_id_667
9W1E0RmO5H,0.0,12.0,0.0,0.0,0.0,2,MWMHzVQL72,Windmill,xdPavVC7xo,2018-12-05,fake_id_653
KDJnrjXCna,0.0,14.0,0.0,0.0,0.0,2,xRZT5TukAx,Single Leg Glute Bridge,uUb2CNR6XJ,2019-05-29,fake_id_654
6q5XMeMn9n,56.69911367945497,10.0,0.0,0.0,0.0,3,kufiPkuKh4,Machine Tricep Dip,K5mBrR8FTC,2018-05-03,fake_id_668
JBx5uQ7MdA,0.0,10.0,0.0,0.0,0.0,1,pnkR2hhdmq,Leg Pull-In,PvlVHk4Ud4,2019-08-20,fake_id_655
goskwpHQHy,11.339822735890994,20.0,0.0,0.0,0.0,3,VrJPlNFXcF,Cable Shoulder Press,ozJ9prdEKt,2018-10-08,fake_id_661
EUKlIEwHad,0.0,22.0,0.0,0.0,0.0,1,BkFfBzUVdh,Straight Leg Kickback,MPKJOIpqb4,2019-04-09,fake_id_661
6hB3LGSXnP,0.0,0.0,0.0,1200.0,0.0,1,j3bEAA0C5X,Stair Stepper,ToQJbkVV64,2018-10-14,fake_id_661
wx7lNQXlgY,10.0,10.0,0.0,0.0,0.0,2,PJzcU3Gp1X,Incline Dumbbell Curl,ZYajVKp38O,2019-03-14,fake_id_653
kPwuGgYlL0,22.67964547178199,4.0,0.0,0.0,0.0,3,DTMv7Jeg5K,Machine Tricep Extension,fPWNOgQDc8,2019-01-08,fake_id_661
Sb6cYnCKB4,27.215574566138386,15.0,0.0,0.0,0.0,2,gaCBpJxNoA,Dumbbell Shrug,Zhh4s4xYOT,2018-12-12,fake_id_660
SdqLnDpXNY,11.339822735890994,10.0,0.0,0.0,0.0,2,iSeMXj2wKe,Chin Up,z1tFQLDwN7,2019-05-31,fake_id_665
LhMGDiYkg8,0.0,15.0,0.0,0.0,0.0,2,y1MfHNEcJ6,TRX Row,l03BG4S2r4,2018-11-28,fake_id_653
Trtye5BpeA,10.0,10.0,0.0,0.0,0.0,2,Fzr6CDGXtA,Incline Dumbbell Curl,l03BG4S2r4,2018-11-28,fake_id_653
XfLvzOBnVM,25.0,10.0,0.0,0.0,0.0,4,XVDil2v7qY,Barbell Bicep Drag Curl,I2jYv6jQX6,2019-07-08,fake_id_653
MEvBRaDOzL,0.0,15.0,0.0,0.0,0.0,3,zqCn3o5vjC,Pulse Lunge,p7udN2LzBe,2019-08-04,fake_id_667
ECUNJUTGA0,0.0,10.0,0.0,0.0,0.0,3,Jwo2LxGAv7,Wide Grip Pull Up,p7udN2LzBe,2019-08-04,fake_id_667
sEZvgIGeAF,20.41168092460379,12.0,0.0,0.0,0.0,2,Et4rdBxPgy,Hammerstrength Shrug,qJuNYVEPnB,2019-08-07,fake_id_664
K2C8gvz1Qv,58.96707822663317,6.0,0.0,0.0,0.0,2,LpS7WF1B2Z,Hammerstrength Iso Row,qKm6jemifk,2018-07-14,fake_id_664
RO9IIsw9uV,0.0,18.0,0.0,0.0,0.0,3,g2QotRtaD5,Tuck Crunch,BgZtwnNpb2,2018-07-02,fake_id_673
4rLScD0wpJ,27.215574566138386,12.0,0.0,0.0,0.0,2,myK3VGPeSA,V-Bar Pulldown,Z4DkVGmIYq,2018-12-13,fake_id_661
nMIKhTcWpT,11.339822735890989,8.0,0.0,0.0,0.0,1,VqUyA0YElK,Biceps Curl To Shoulder Press,KNNlpeFYVt,2018-07-22,fake_id_664
P01RO8UdzR,0.0,0.0,2414.016,727.1,0.0,1,2Vshd7cW4Z,Running,cYIyKMFr3L,2019-08-28,fake_id_664
rfhecGAIiI,6.123504277381136,12.0,0.0,0.0,0.0,5,a7eVXET0VH,Svend Press,FHJcP59nnC,2019-04-26,fake_id_654
9TG0agXPuf,0.0,17.0,0.0,0.0,0.0,3,6xvi1chWg5,Scissor Crossover Kick,dHFALhgqgc,2019-09-03,fake_id_663
A63fBndzUg,0.0,0.0,2340.0,900.0,0.0,1,2VYYZ9skLD,Running - Treadmill,DscynkHVBn,2019-05-20,fake_id_663
aBb6sXGGIi,43.091326396385774,15.0,0.0,0.0,0.0,1,kbMCFmjBAP,Smith Machine Upright Row,cdA4VW9GV0,2019-04-30,fake_id_664
ywYKEA9sYi,15.87575183024739,2.0,0.0,0.0,0.0,2,kRKPEbylYk,Single Arm Kettlebell Swing,6tAdRiPlTz,2019-05-01,fake_id_660
FEvpDOURNQ,6.8038936415345965,12.0,0.0,0.0,0.0,1,curSrCCh1m,Around the Worlds,R8oiMoWZVl,2019-07-18,fake_id_660
DJtc5cw8ZC,47.627255490742165,12.0,0.0,0.0,0.0,3,b1Rc4Mn1cy,V-Bar Pulldown,UeZa2VGVEp,2018-06-19,fake_id_673
UyhcWipPXc,24.94761001896019,5.0,0.0,0.0,0.0,2,H8NE4j1Nm8,Muscle Clean,o8GpoRbUDB,2019-05-03,fake_id_654
ddzVEODI1m,29.483539113316585,15.0,0.0,0.0,0.0,3,8fB1449HHe,Hammerstrength Decline Chest Press,pr2ZlZMmCe,2019-09-12,fake_id_664
ioU65eMNQt,2.5,12.0,0.0,0.0,0.0,3,msjJuCxin6,Bulgarian Split Squat,1jI4tYZJ5F,2019-01-28,fake_id_653
DCk1AlW6nD,2.2679645471781997,15.0,0.0,0.0,0.0,2,fpGDdLaZge,Dumbbell Romanian Deadlift,GnflTbGfTX,2019-04-30,fake_id_670
9ycE0rsIVv,0.0,10.0,0.0,0.0,0.0,1,XVmLkEUFep,Pulse Lunge,3qAXhl8FAC,2019-04-28,fake_id_661
RhV7WyzUNl,9.071858188712797,8.0,0.0,0.0,0.0,2,gB17KpwKmH,Incline Dumbbell Curl,qXA4HhkYPX,2019-01-23,fake_id_660
9fq8xQ6QX5,99.79044007584076,30.0,0.0,0.0,0.0,2,0GlWKAn7i7,Side Bridge,3jUJ3aSC0J,2018-04-28,fake_id_668
OZAQjC1I0C,9.071858188712797,15.0,0.0,0.0,0.0,3,OQRtakXzY5,Zottman Preacher Curl,QFDMRC57wa,2019-04-08,fake_id_662
pPAruJFBnH,27.215574566138386,4.0,0.0,0.0,0.0,1,K3HlCYgMdH,Cable Tricep Extension,ylhBWzYF2f,2018-01-25,fake_id_669
FFGbLZoV2G,0.0,0.0,1303.5686400000004,480.0,0.0,2,x2KfBn3xMv,Running - Treadmill,1Xvw6FE3Y0,2018-10-18,fake_id_661
RZ7XdpcY1e,13.607787283069193,12.0,0.0,0.0,0.0,2,uDWSXW6NL4,Kettlebell Sumo Squat,p7udN2LzBe,2019-08-04,fake_id_667
xus7K8jo6p,13.607787283069193,5.0,0.0,0.0,0.0,2,VNq7sXJczo,Dumbbell Squat,p7udN2LzBe,2019-08-04,fake_id_667
BZ16nUPJ6v,38.55539730202938,5.0,0.0,0.0,0.0,2,ncpMC4L3jG,Smith Machine Bench Press,Q0LiwiBz6v,2018-10-12,fake_id_661
fGLCI6sLYn,15.87575183024739,5.0,0.0,0.0,0.0,4,WdDymBJ249,Hammerstrength Chest Press,Q0LiwiBz6v,2018-10-12,fake_id_661
Jlse11BDKE,13.607787283069193,12.0,0.0,0.0,0.0,2,J5YTAZIRoQ,Single Arm Dumbbell Tricep Extension,AhK9l5XVp4,2018-10-10,fake_id_651
uXFYDfJpHT,0.0,8.0,0.0,0.0,0.0,4,uvAvBNVmPd,Tuck Jump,upcA8QGQk8,2019-04-20,fake_id_664
OWzJWqx2w1,0.0,25.0,0.0,0.0,0.0,1,QBPD88INpN,Scissor Kick,1iixuNNkGU,2018-12-23,fake_id_653
7M93AHnatE,0.0,12.0,0.0,0.0,0.0,1,tOn5dbOl90,Elevated Hip Bridge,YMwiLTzY9q,2019-06-28,fake_id_661
jfUkklvYBm,6.123504277381136,10.0,0.0,0.0,0.0,1,CxEcz8QUH2,Dumbbell Bent Over Row,o6jNq9qEC7,2019-03-25,fake_id_654
u3RbEgVcUi,7.5,12.0,0.0,0.0,0.0,5,NiPXERyZfF,Smith Machine Squat,0pYTiNMWer,2019-08-27,fake_id_653
UmbU51dqcA,24.94761001896019,5.0,0.0,0.0,0.0,3,x3hwZOICW0,Glute Kickback Machine,0bgAMEkCID,2019-01-02,fake_id_661
XaO4GtUBCJ,10.0,6.0,0.0,0.0,0.0,1,Tnp7CgsWmy,Chin Up,f1buCPGMC4,2018-01-16,fake_id_669
E7bFA2zvvP,0.0,25.0,0.0,0.0,0.0,2,zDsZYUqRUT,Flutter Kicks,5ZjVTP2Rtd,2019-03-13,fake_id_656
rFqwBpRa6y,0.0,22.0,0.0,0.0,0.0,3,3FU83dXNfA,Leg Pull-In,IQG1pJndBq,2019-04-18,fake_id_664
6JmYw4HohA,0.0,7.0,0.0,0.0,0.0,3,3NsEHFSEED,Decline Push Up,UvcXvQrlOT,2019-08-06,fake_id_654
zrriB2KDJM,40.82336184920758,15.0,0.0,0.0,0.0,4,wLQ6QWZTGp,Smith Machine Close-Grip Bench Press,t9FjxxeZW6,2019-06-24,fake_id_664
nga5QdRVZ7,29.483539113316585,15.0,0.0,0.0,0.0,2,DwgdW4WN0l,Machine Tricep Extension,OGCZt8ILrU,2019-01-24,fake_id_660
6VEd9qdyPp,20.41168092460379,8.0,0.0,0.0,0.0,1,IIthO7R7Hp,Smith Machine Bench Press,Fg7ZMSkwVO,2018-02-06,fake_id_669
l8Ih3YrySr,0.0,0.0,550.0,600.0,0.0,1,d0w0v0rkoD,Elliptical,ZuR0J1tT54,2019-07-08,fake_id_663
1sQBFSWBTT,35.0,8.0,0.0,0.0,0.0,3,ZjdnNuLW3o,V-Bar Pulldown,ZuR0J1tT54,2019-07-08,fake_id_663
Iwu7qLdRvR,0.0,0.0,2000.0,600.0,0.0,1,QUVwY3oACL,Rowing,xFEjxkvw4H,2019-04-06,fake_id_663
QxaxFMsLXz,20.41168092460379,5.0,0.0,0.0,0.0,1,XlSVwMsaAP,Split Squat,uLIx5ODSWj,2019-07-11,fake_id_654
kESkGnywRT,36.28743275485118,8.0,0.0,0.0,0.0,1,vNEhNE7lUE,Ab Crunch Machine,56TmIYqaxJ,2018-07-10,fake_id_658
rGEJwO5kaX,0.0,2.0,0.0,0.0,0.0,2,INyKOyeiDv,V-Bar Pull Up,jHR3X9ZCyj,2019-06-03,fake_id_667
